BE,0.055,0.043,0.047,0.065,0.185,0.224,0.037,0.053,0.209,0.278,0.062,0.006,0.061,0.054,0.115,0.106,0.147,0.227,0.148,0.169,0.02,0.042,0.022,0.061,5
AF,0.124,0.114,0.032,0.016,0.161,0.204,0.011,0.054,0.109,0.035,0.003,0.025,0.032,0.014,0.057,0.009,0.048,0.071,0.075,0.047,0.061,0.028,0.01,0.035,0
BE,0.057,0.014,0.06,0.041,0.29,0.292,0.02,0.035,0.272,0.289,0.047,0.041,0.012,0.02,0.142,0.144,0.125,0.155,0.169,0.157,0.059,0.027,0.059,0.009,5
BE,0.116,0.108,0.016,0.012,0.164,0.099,0.04,0.034,0.173,0.139,0.052,0.013,0.01,0.043,0.037,0.01,0.004,0.057,0.055,0.057,0.002,0.031,0.026,0.027,4
BE,0.028,0.017,0.002,0.012,0.17,0.329,0.142,0.124,0.226,0.274,0.053,0.066,0.031,0.024,0.028,0.041,0.065,0.089,0.099,0.024,0.017,0.062,0.021,0.004,5
EF,0.056,0.035,0.049,0.056,0.241,0.217,0.051,0.026,0.236,0.222,0.009,0.043,0.036,0.066,0.17,0.006,0.041,0.128,0.155,0.126,0.165,0.141,0.149,0.103,2
BE,0.15,0.132,0.009,0.007,0.178,0.202,0.022,0.036,0.141,0.191,0.003,0.027,0.017,0.015,0.043,0.007,0.02,0.052,0.047,0.062,0.026,0.035,0.017,0.016,4
AF,0.027,0.058,0.061,0.034,0.307,0.268,0.03,0.065,0.187,0.217,0.055,0.059,0.017,0.022,0.178,0.155,0.115,0.166,0.2,0.138,0.066,0.041,0.056,0.048,0
BE,0.038,0.005,0.034,0.016,0.265,0.22,0.05,0.045,0.256,0.285,0.132,0.104,0.137,0.147,0.088,0.025,0.024,0.064,0.106,0.093,0.049,0.009,0.06,0.065,4
EF,0.159,0.134,0.053,0.047,0.218,0.079,0.052,0.044,0.041,0.1,0.013,0.048,0.032,0.053,0.045,0.036,0.036,0.049,0.014,0.084,0.021,0.005,0.023,0.034,2
AF,0.019,0.031,0.123,0.107,0.304,0.208,0.052,0.062,0.185,0.185,0.065,0.011,0.043,0.038,0.048,0.029,0.025,0.074,0.011,0.092,0.047,0.024,0.021,0.018,0
